__EFMigrationsHistory|PK___EFMigrationsHistory|CLUSTERED|1|1|MigrationId
Attendance|IX_Attendance_DeviceId_Date|NONCLUSTERED|0|0|DeviceId
Attendance|IX_Attendance_DeviceId_Date|NONCLUSTERED|0|0|Date
Attendance|IX_Attendance_MemberId_Date|NONCLUSTERED|0|0|MemberId
Attendance|IX_Attendance_MemberId_Date|NONCLUSTERED|0|0|Date
Attendance|PK_Attendance|CLUSTERED|1|1|Id
AuditLogs|IX_AuditLogs_CreatedAt|NONCLUSTERED|0|0|CreatedAt
AuditLogs|IX_AuditLogs_EntityType_EntityId|NONCLUSTERED|0|0|EntityType
AuditLogs|IX_AuditLogs_EntityType_EntityId|NONCLUSTERED|0|0|EntityId
AuditLogs|IX_AuditLogs_UserId|NONCLUSTERED|0|0|UserId
AuditLogs|PK_AuditLogs|CLUSTERED|1|1|Id
BackupLogs|IX_BackupLogs_BackupDate|NONCLUSTERED|0|0|BackupDate
BackupLogs|PK_BackupLogs|CLUSTERED|1|1|Id
DeviceLogs|IX_DeviceLogs_CreatedAt|NONCLUSTERED|0|0|CreatedAt
DeviceLogs|IX_DeviceLogs_DeviceId|NONCLUSTERED|0|0|DeviceId
DeviceLogs|PK_DeviceLogs|CLUSTERED|1|1|Id
Devices|PK_Devices|CLUSTERED|1|1|Id
Members|IX_Members_Code|NONCLUSTERED|1|0|Code
Members|IX_Members_NationalId|NONCLUSTERED|1|0|NationalId
Members|IX_Members_PackageId|NONCLUSTERED|0|0|PackageId
Members|IX_Members_ReceiptNumber|NONCLUSTERED|1|0|ReceiptNumber
Members|PK_Members|CLUSTERED|1|1|Id
MembershipPlans|PK_MembershipPlans|CLUSTERED|1|1|Id
Offers|IX_Offers_IsActive|NONCLUSTERED|0|0|IsActive
Offers|IX_Offers_LinkedPackageId|NONCLUSTERED|0|0|LinkedPackageId
Offers|PK_Offers|CLUSTERED|1|1|Id
PermissionAuditLogs|IX_PermissionAuditLogs_UserId|NONCLUSTERED|0|0|UserId
PermissionAuditLogs|PK_PermissionAuditLogs|CLUSTERED|1|1|Id
Permissions|IX_Permissions_Name|NONCLUSTERED|1|0|Name
Permissions|PK_Permissions|CLUSTERED|1|1|Id
RolePermissions|IX_RolePermissions_PermissionId|NONCLUSTERED|0|0|PermissionId
RolePermissions|IX_RolePermissions_RoleId_PermissionId|NONCLUSTERED|1|0|RoleId
RolePermissions|IX_RolePermissions_RoleId_PermissionId|NONCLUSTERED|1|0|PermissionId
RolePermissions|PK_RolePermissions|CLUSTERED|1|1|Id
Roles|IX_Roles_Name|NONCLUSTERED|1|0|Name
Roles|PK_Roles|CLUSTERED|1|1|Id
Settings|IX_Settings_Key|NONCLUSTERED|1|0|Key
Settings|PK_Settings|CLUSTERED|1|1|Id
SubscriptionFreezeHistories|IX_SubscriptionFreezeHistories_SubscriptionId|NONCLUSTERED|0|0|SubscriptionId
SubscriptionFreezeHistories|PK_SubscriptionFreezeHistories|CLUSTERED|1|1|Id
SubscriptionPayments|IX_SubscriptionPayments_EmployeeId|NONCLUSTERED|0|0|EmployeeId
SubscriptionPayments|IX_SubscriptionPayments_SubscriptionId|NONCLUSTERED|0|0|SubscriptionId
SubscriptionPayments|PK_SubscriptionPayments|CLUSTERED|1|1|Id
Subscriptions|IX_Subscriptions_MemberId_Status|NONCLUSTERED|0|0|MemberId
Subscriptions|IX_Subscriptions_MemberId_Status|NONCLUSTERED|0|0|Status
Subscriptions|IX_Subscriptions_OfferId|NONCLUSTERED|0|0|OfferId
Subscriptions|IX_Subscriptions_PlanId|NONCLUSTERED|0|0|PlanId
Subscriptions|IX_Subscriptions_ReceiptNumber|NONCLUSTERED|1|0|ReceiptNumber
Subscriptions|IX_Subscriptions_Status|NONCLUSTERED|0|0|Status
Subscriptions|PK_Subscriptions|CLUSTERED|1|1|Id
SubscriptionTransactionLogs|IX_SubscriptionTransactionLogs_PerformedBy|NONCLUSTERED|0|0|PerformedBy
SubscriptionTransactionLogs|IX_SubscriptionTransactionLogs_SubscriptionId|NONCLUSTERED|0|0|SubscriptionId
SubscriptionTransactionLogs|PK_SubscriptionTransactionLogs|CLUSTERED|1|1|Id
Users|IX_Users_Email|NONCLUSTERED|1|0|Email
Users|IX_Users_RoleId|NONCLUSTERED|0|0|RoleId
Users|IX_Users_Username|NONCLUSTERED|1|0|Username
Users|PK_Users|CLUSTERED|1|1|Id
WhatsAppTemplates|IX_WhatsAppTemplates_Name|NONCLUSTERED|1|0|Name
WhatsAppTemplates|PK_WhatsAppTemplates|CLUSTERED|1|1|Id

(59 rows affected)
